in_taxa,out_taxa
acartia danae_copepodite ii-vi,acartia danae
acartia longiremis_copepodite ii-vi,acartia longiremis
acartia longiremis_unstaged,acartia longiremis
acartia_copepodite i-v (pseudocalanus / copepodite i-vi (paracalanus),acartia spp.
acartia_copepodite ii-vi,acartia spp.
amphipoda_unstaged,amphipoda spp.
appendicularia_unstaged,appendicularia spp.
bivalvia_larva,bivalvia spp.
bivalvia_larva,brachyura spp.
brachyura_nauplius,brachyura spp.
calanus_copepodite i-iv,calanus i-iv
calanus finmarchicus_copepodite v-vi,calanus finmarchicus v-vi
calanus helgolandicus_copepodite v-vi,calanus helgolandicus
calanus hyperboreus_copepodite i-vi,calanus hyperboreus
calanus hyperboreus_copepodite iii-vi,calanus hyperboreus
calocalanus_copepodite i-iv,calocalanus spp.
calocalanus_copepodite v-vi,calocalanus spp.
candacia_copepodite iii-iv,candacia spp.
cavoliniidae_unstaged,cavoliniidae spp.
centropages hamatus_copepodite iv-vi,centropages hamatus
centropages hamatus_copepodite vi,centropages hamatus
centropages hamatus_unstaged,centropages hamatus
centropages typicus_copepodite iv,centropages typicus
centropages typicus_copepodite iv-v,centropages typicus
centropages typicus_copepodite iv-vi,centropages typicus
centropages typicus_copepodite vi,centropages typicus
centropages_copepodite i-iv,centropages spp.
centropages_copepodite v-vi,centropages spp.
chaetognatha hpr eyecount_unstaged,chaetognatha eyecount
chaetognatha hpr traverse_unstaged,chaetognatha traverse
cladocera_unstaged,cladocera spp.
clausocalanus_copepodite vi,clausocalanus spp.
"clione_immature (sexually, or juvenile)",clione spp.
clione_unstaged,clione spp.
copepoda_copepodite i-v,copepoda spp.
copepoda_nauplius,copepoda spp.
cumacea_unstaged,cumacea spp.
cyclopoida_copepodite vi,cyclopoida spp.
decapoda_larva,decapoda spp.
echinodermata_larva,echinoderm larvae
ectoprocta_cyphonautes,ectoprocta cyphonautes
eucalanus_copepodite i-vi,eucalanus spp.
euchaeta acuta_copepodite v-vi,euchaeta acuta
euchaeta acuta_unstaged,euchaeta acuta
euchaeta marina_copepodite i-iv,euchaeta marina
euchaeta marina_copepodite v-vi,euchaeta marina
euchaeta marina_unstaged,euchaeta marina
euchaeta_copepodite vi,euchaeta spp.
euchirella rostrata_copepodite v-vi,euchirella rostrata
euphausiacea_calyptopis (protozoea),euphausiacea calyptosis
euphausiacea_nauplius,euphausiacea nauplii
euphausiacea_post calyptopis,euphausiacea spp.
eurytemora americana_copepodite vi,eurytemora americana
eurytemora americana_unstaged,eurytemora americana
eurytemora herdmani_unstaged,eurytemora herdmani
eurytemora_copepodite i-iv,eurytemora spp.
eurytemora_copepodite v-vi,eurytemora spp.
eurytemora_unstaged,eurytemora spp.
evadne_unstaged,evadne spp.
foraminiferida_unstaged,foraminiferida spp.
gammaridae_unstaged,gammaridea spp.
gastropoda_larva,gastropoda spp.
gastropoda_unstaged,gastropoda spp.
gymnosomata_unstaged,gymnosomata spp.
halithalestris croni_unstaged,halithalestris spp.
harpacticoida_copepodite i-vi,harpacticoida spp.
heteropoda,heteropoda spp.
heterorhabdus papilliger_unstaged,heterorhabdus papilliger
homarus americanus_larva,homarus americanus
homarus americanus_unstaged,homarus americanus
hyperiidea_unstaged,hyperiidea spp.
isopoda_larva,isopoda spp.
isopoda_unstaged,isopoda spp.
labidocera aestiva_copepodite vi,labidocera aestiva
limacina_unstaged,limacina spp.
"lucifer typus_immature (sexually), juvenile, or adult",lucifer typus
macrosetella gracilis_copepodite i-vi,macrosetella gracilis
mecynocera clausi_copepodite v-vi,mecynocera clausi
metridia longa_copepodite v-vi,metridia longa
metridia lucens_copepodite v-vi,metridia lucens
metridia lucens_unstaged,metridia lucens
metridia_copepodite i-iv,metridia i-iv
microsetella rosea_copepodite i-iv,microsetella rosea
microsetella rosea_unstaged,microsetella rosea
musca_unstaged,musca spp.
mysida_unstaged,mysida spp.
nannocalanus minor_copepodite v,nannocalanus minor
nannocalanus minor_copepodite v-vi,nannocalanus minor
nannocalanus minor_copepodite vi,nannocalanus minor
nemata_unstaged,nemata spp.
oithona_copepodite iv-vi,oithona spp.
oncaea_copepodite vi,oncaea spp.
"ostracoda_immature (sexually), juvenile, or adult",ostracoda spp.
ostracoda_unstaged,ostracoda spp.
paedoclione doliiformis_unstaged,paedoclione doliiformis
paracalanus or pseudocalanus_copepodite i-v,para-pseudocalanus spp.
paracalanus or pseudocalanus_copepodite i-v (pseudocalanus / copepodite i-vi (paracalanus),para-pseudocalanus spp.
paracalanus_copepodite vi,paracalanus spp.
paracalanus_unstaged,paracalanus spp.
paraeuchaeta norvegica_copepodite iii-vi,paraeuchaeta norvegica
paraeuchaeta norvegica_nauplius,paraeuchaeta norvegica
penilia avirostris_unstaged,penilia avirostris
pleuromamma piseki_copepodite i-vi,pleuromamma piseki
pleuromamma piseki_copepodite v-vi,pleuromamma piseki
pleuromamma robusta_copepodite v-vi,pleuromamma robusta
pleuromamma_copepodite ii-vi,pleuromamma spp.
pleuromamma_copepodite iv-v,pleuromamma spp.
pleuromamma_copepodite vi,pleuromamma spp.
pleuromamma_unstaged,pleuromamma spp.
pneumodermopsis paucidens_unstaged,pneumodermopsis paucidens
podon_unstaged,podon spp.
polychaeta_larva,polychaeta larva
pseudocalanus_copepodite vi,pseudocalanus spp.
pycnogonida_unstaged,pycnogonida spp.
rhincalanus nasutus_copepodite v-vi,rhincalanus nasutus
rhincalanus nasutus_unstaged,rhincalanus nasutus
rhincalanus_copepodite v-vi,rhincalanus spp.
rhincalanus_copepodite vi,rhincalanus spp.
rhincalanus_unstaged,rhincalanus spp.
sapphirina_copepodite i-vi,sapphirina spp.
sarcodina (not foraminiferida)_unstaged,sarcodina spp.
sessilia_cypris,sessilia spp.
sessilia_nauplius,sessilia spp.
siphonostomatoida_unstaged,siphonostomoida spp.
sipuncula_unstaged,sipuncula spp.
stellate bodies_unstaged,stellate bodies
stomatopoda_larva,stomatopoda spp.
temora longicornis_copepodite iv-vi,temora longicornis
temora longicornis_unstaged,temora longicornis
temora turbinata_copepodite iv-vi,temora turbinata
thalia democratica_unstaged,thalia democratica
thaliacea_unstaged,thaliacea spp.
thecosomata_unstaged,thecosomata spp.
tintinnidae_unstaged,tintinnidae spp.
tortanus discaudatus_copepodite v-vi,tortanus discaudatus
tortanus discaudatus_copepodite vi,tortanus discaudatus
undeuchaeta plumosa_copepodite v-vi,undeuchaeta plumosa
unidentified plankton and fragments_unstaged,unidentified plankton and fragments
